Order ID,Customer ID,Unique product ID,Product ID,Order Date,Ship Date,Sales,Geo_ID
CA-2017-152156,CG-12520,FUR-BO-10001798--1606877266247266439,FUR-BO-10001798,2017-11-08,2017-11-11,261.96,Henderson_Kentucky_42420.0
CA-2017-152156,CG-12520,FUR-CH-10000454--776781715760852353,FUR-CH-10000454,2017-11-08,2017-11-11,731.94,Henderson_Kentucky_42420.0
CA-2017-138688,DV-13045,OFF-LA-10000240--5168983536461673049,OFF-LA-10000240,2017-06-12,2017-06-16,14.62,Los Angeles_California_90036.0
US-2016-108966,SO-20335,FUR-TA-10000577-1829411158375659737,FUR-TA-10000577,2016-10-11,2016-10-18,957.5775,Fort Lauderdale_Florida_33311.0
US-2016-108966,SO-20335,OFF-ST-10000760--3296988673227073008,OFF-ST-10000760,2016-10-11,2016-10-18,22.368,Fort Lauderdale_Florida_33311.0
CA-2015-115812,BH-11710,FUR-FU-10001487-7397669726642604980,FUR-FU-10001487,2015-06-09,2015-06-14,48.86,Los Angeles_California_90032.0
CA-2015-115812,BH-11710,OFF-AR-10002833--4145760214240591889,OFF-AR-10002833,2015-06-09,2015-06-14,7.28,Los Angeles_California_90032.0
CA-2015-115812,BH-11710,TEC-PH-10002275--4817399782734011042,TEC-PH-10002275,2015-06-09,2015-06-14,907.152,Los Angeles_California_90032.0
CA-2015-115812,BH-11710,OFF-BI-10003910--5605090784615098322,OFF-BI-10003910,2015-06-09,2015-06-14,18.504,Los Angeles_California_90032.0
CA-2015-115812,BH-11710,OFF-AP-10002892--6067025788415010888,OFF-AP-10002892,2015-06-09,2015-06-14,114.9,Los Angeles_California_90032.0
CA-2015-115812,BH-11710,FUR-TA-10001539-8357975362936003717,FUR-TA-10001539,2015-06-09,2015-06-14,1706.184,Los Angeles_California_90032.0
CA-2015-115812,BH-11710,TEC-PH-10002033-6858310095491374927,TEC-PH-10002033,2015-06-09,2015-06-14,911.424,Los Angeles_California_90032.0
CA-2018-114412,AA-10480,OFF-PA-10002365-3259610754844166830,OFF-PA-10002365,2018-04-15,2018-04-20,15.552,Concord_North Carolina_28027.0
CA-2017-161389,IM-15070,OFF-BI-10003656-7792014967764143063,OFF-BI-10003656,2017-12-05,2017-12-10,407.976,Seattle_Washington_98103.0
US-2016-118983,HP-14815,OFF-AP-10002311-3846576214057021040,OFF-AP-10002311,2016-11-22,2016-11-26,68.81,Fort Worth_Texas_76106.0
US-2016-118983,HP-14815,OFF-BI-10000756-8450629602084665128,OFF-BI-10000756,2016-11-22,2016-11-26,2.544,Fort Worth_Texas_76106.0
CA-2015-105893,PK-19075,OFF-ST-10004186-7361145524368657413,OFF-ST-10004186,2015-11-11,2015-11-18,665.88,Madison_Wisconsin_53711.0
CA-2015-167164,AG-10270,OFF-ST-10000107--1520146212813752365,OFF-ST-10000107,2015-05-13,2015-05-15,55.5,West Jordan_Utah_84084.0
CA-2015-143336,ZD-21925,OFF-AR-10003056-1464149639103841097,OFF-AR-10003056,2015-08-27,2015-09-01,8.56,San Francisco_California_94109.0
CA-2015-143336,ZD-21925,TEC-PH-10001949-1367333103575158396,TEC-PH-10001949,2015-08-27,2015-09-01,213.48,San Francisco_California_94109.0
CA-2015-143336,ZD-21925,OFF-BI-10002215-3137182468820363832,OFF-BI-10002215,2015-08-27,2015-09-01,22.72,San Francisco_California_94109.0
CA-2017-137330,KB-16585,OFF-AR-10000246--5466131102411144078,OFF-AR-10000246,2017-12-09,2017-12-13,19.46,Fremont_Nebraska_68025.0
CA-2017-137330,KB-16585,OFF-AP-10001492-9192033849311849256,OFF-AP-10001492,2017-12-09,2017-12-13,60.34,Fremont_Nebraska_68025.0
US-2018-156909,SF-20065,FUR-CH-10002774--5758746703992830766,FUR-CH-10002774,2018-07-16,2018-07-18,71.372,Philadelphia_Pennsylvania_19140.0
CA-2016-106320,EB-13870,FUR-TA-10000577-1829411158375659737,FUR-TA-10000577,2016-09-25,2016-09-30,1044.63,Orem_Utah_84057.0
CA-2017-121755,EH-13945,OFF-BI-10001634-8073457521018093697,OFF-BI-10001634,2017-01-16,2017-01-20,11.648,Los Angeles_California_90049.0
CA-2017-121755,EH-13945,TEC-AC-10003027--1811043377084236150,TEC-AC-10003027,2017-01-16,2017-01-20,90.57,Los Angeles_California_90049.0
US-2016-150630,TB-21520,FUR-BO-10004834--6704629663467734330,FUR-BO-10004834,2016-09-17,2016-09-21,3083.43,Philadelphia_Pennsylvania_19140.0
US-2016-150630,TB-21520,OFF-BI-10000474-7060121265244636342,OFF-BI-10000474,2016-09-17,2016-09-21,9.618,Philadelphia_Pennsylvania_19140.0
US-2016-150630,TB-21520,FUR-FU-10004848--4656788383731901632,FUR-FU-10004848,2016-09-17,2016-09-21,124.2,Philadelphia_Pennsylvania_19140.0
US-2016-150630,TB-21520,OFF-EN-10001509-4548618980717228899,OFF-EN-10001509,2016-09-17,2016-09-21,3.264,Philadelphia_Pennsylvania_19140.0
US-2016-150630,TB-21520,OFF-AR-10004042-3795347930431993253,OFF-AR-10004042,2016-09-17,2016-09-21,86.304,Philadelphia_Pennsylvania_19140.0
US-2016-150630,TB-21520,OFF-BI-10001525--5707068537058780690,OFF-BI-10001525,2016-09-17,2016-09-21,6.858,Philadelphia_Pennsylvania_19140.0
US-2016-150630,TB-21520,OFF-AR-10001683--2797531776156954296,OFF-AR-10001683,2016-09-17,2016-09-21,15.76,Philadelphia_Pennsylvania_19140.0
CA-2018-107727,MA-17560,OFF-PA-10000249--9093674304549057966,OFF-PA-10000249,2018-10-19,2018-10-23,29.472,Houston_Texas_77095.0
