Unique product ID,Product ID,Category,Sub-Category,Product Name
FUR-BO-10001798--1606877266247266439,FUR-BO-10001798,Furniture,Bookcases,Bush Somerset Collection Bookcase
FUR-CH-10000454--776781715760852353,FUR-CH-10000454,Furniture,Chairs,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back"
OFF-LA-10000240--5168983536461673049,OFF-LA-10000240,Office Supplies,Labels,Self-Adhesive Address Labels for Typewriters by Universal
FUR-TA-10000577-1829411158375659737,FUR-TA-10000577,Furniture,Tables,Bretford CR4500 Series Slim Rectangular Table
OFF-ST-10000760--3296988673227073008,OFF-ST-10000760,Office Supplies,Storage,Eldon Fold 'N Roll Cart System
FUR-FU-10001487-7397669726642604980,FUR-FU-10001487,Furniture,Furnishings,"Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood"
OFF-AR-10002833--4145760214240591889,OFF-AR-10002833,Office Supplies,Art,Newell 322
TEC-PH-10002275--4817399782734011042,TEC-PH-10002275,Technology,Phones,Mitel 5320 IP Phone VoIP phone
OFF-BI-10003910--5605090784615098322,OFF-BI-10003910,Office Supplies,Binders,DXL Angle-View Binders with Locking Rings by Samsill
OFF-AP-10002892--6067025788415010888,OFF-AP-10002892,Office Supplies,Appliances,Belkin F5C206VTEL 6 Outlet Surge
FUR-TA-10001539-8357975362936003717,FUR-TA-10001539,Furniture,Tables,Chromcraft Rectangular Conference Tables
TEC-PH-10002033-6858310095491374927,TEC-PH-10002033,Technology,Phones,Konftel 250 Conference phone - Charcoal black
OFF-PA-10002365-3259610754844166830,OFF-PA-10002365,Office Supplies,Paper,Xerox 1967
OFF-BI-10003656-7792014967764143063,OFF-BI-10003656,Office Supplies,Binders,Fellowes PB200 Plastic Comb Binding Machine
OFF-AP-10002311-3846576214057021040,OFF-AP-10002311,Office Supplies,Appliances,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter"
OFF-BI-10000756-8450629602084665128,OFF-BI-10000756,Office Supplies,Binders,Storex DuraTech Recycled Plastic Frosted Binders
OFF-ST-10004186-7361145524368657413,OFF-ST-10004186,Office Supplies,Storage,"Stur-D-Stor Shelving, Vertical 5-Shelf: 72""H x 36""W x 18 1/2""D"
OFF-ST-10000107--1520146212813752365,OFF-ST-10000107,Office Supplies,Storage,Fellowes Super Stor/Drawer
OFF-AR-10003056-1464149639103841097,OFF-AR-10003056,Office Supplies,Art,Newell 341
TEC-PH-10001949-1367333103575158396,TEC-PH-10001949,Technology,Phones,Cisco SPA 501G IP Phone
OFF-BI-10002215-3137182468820363832,OFF-BI-10002215,Office Supplies,Binders,"Wilson Jones Hanging View Binder, White, 1"""
OFF-AR-10000246--5466131102411144078,OFF-AR-10000246,Office Supplies,Art,Newell 318
OFF-AP-10001492-9192033849311849256,OFF-AP-10001492,Office Supplies,Appliances,"Acco Six-Outlet Power Strip, 4' Cord Length"
FUR-CH-10002774--5758746703992830766,FUR-CH-10002774,Furniture,Chairs,"Global Deluxe Stacking Chair, Gray"
OFF-BI-10001634-8073457521018093697,OFF-BI-10001634,Office Supplies,Binders,Wilson Jones Active Use Binders
TEC-AC-10003027--1811043377084236150,TEC-AC-10003027,Technology,Accessories,Imation 8GB Mini TravelDrive USB 2.0 Flash Drive
FUR-BO-10004834--6704629663467734330,FUR-BO-10004834,Furniture,Bookcases,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish"
OFF-BI-10000474-7060121265244636342,OFF-BI-10000474,Office Supplies,Binders,Avery Recycled Flexi-View Covers for Binding Systems
FUR-FU-10004848--4656788383731901632,FUR-FU-10004848,Furniture,Furnishings,"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock"
OFF-EN-10001509-4548618980717228899,OFF-EN-10001509,Office Supplies,Envelopes,Poly String Tie Envelopes
OFF-AR-10004042-3795347930431993253,OFF-AR-10004042,Office Supplies,Art,"BOSTON Model 1800 Electric Pencil Sharpeners, Putty/Woodgrain"
OFF-BI-10001525--5707068537058780690,OFF-BI-10001525,Office Supplies,Binders,"Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Executive Red"
OFF-AR-10001683--2797531776156954296,OFF-AR-10001683,Office Supplies,Art,Lumber Crayons
OFF-PA-10000249--9093674304549057966,OFF-PA-10000249,Office Supplies,Paper,Easy-staple paper
TEC-PH-10004977--8916212745705324479,TEC-PH-10004977,Technology,Phones,GE 30524EE4
FUR-FU-10003664--3377323653410532948,FUR-FU-10003664,Furniture,Furnishings,"Electrix Architect's Clamp-On Swing Arm Lamp, Black"
